#,keyword,country,difficulty,volume,cpc,cps,parent keyword,last update,serp features,global volume,traffic potential,nu,com,net,dk,checking_date
51,nuheder,dk,64,116000,0.2,1.18,tv2 nyhederne,24/01/2022 10:48,"Sitelinks,Top stories,Thumbnails",116000,2470000,1,1,1,0,29-01-2022 09:47:27
52,linkeidn,dk,2,114000,0.4,0.9,linkedin,26/01/2022 19:26,"Sitelinks,People also ask,Knowledge panel",689000,469000,1,0,1,1,29-01-2022 09:48:11
53,cnn,dk,94,114000,0.9,0.98,cnn,25/01/2022 01:05,"Sitelinks,Top stories,Videos,Knowledge panel,Image pack",37040000,134000,1,0,0,0,29-01-2022 09:50:12
54,pinterst,dk,5,112000,0.0,0.91,pinterest,23/01/2022 16:53,"Knowledge panel,People also ask,Sitelinks",2330000,87000,1,0,0,1,29-01-2022 09:55:15
55,yheder,dk,64,112000,0.0,1.19,tv2 nyhederne,24/01/2022 12:21,"Sitelinks,Top stories,Thumbnails",112000,2470000,1,1,1,1,29-01-2022 09:53:18
56,ps5,dk,7,111000,0.15,0.78,playstation 5,26/01/2022 12:51,"Shopping results,Thumbnails,People also ask,Top stories,Videos",28150000,37000,0,0,0,0,29-01-2022 09:50:28
57,em,dk,4,108000,0.02,0.45,em,24/01/2022 10:33,"Sitelinks,Knowledge panel",5400000,26000,0,1,1,0,29-01-2022 09:48:10
58,mitcfu,dk,5,107000,0.0,1.06,mitcfu,24/01/2022 12:56,"Sitelinks,People also ask,Image pack",108000,203000,1,0,1,0,29-01-2022 09:52:21
59,nykredit,dk,2,105000,0.15,0.99,nykredit,25/01/2022 02:54,"Sitelinks,People also ask,Knowledge panel,Image pack",109000,116000,1,0,0,0,29-01-2022 09:48:27
60,speedtest,dk,30,103000,0.06,1.12,speedtest,24/01/2022 06:20,Sitelinks,32940000,212000,0,0,0,0,29-01-2022 09:47:39
61,nemlig,dk,1,100000,0.15,1.01,nemlig,23/01/2022 06:52,"Adwords top,Sitelinks,Knowledge panel,People also ask",102000,149000,1,0,0,0,29-01-2022 09:48:22
62,spilnu,dk,7,99000,6.0,1.06,spilnu,28/01/2022 03:45,"Adwords top,Sitelinks",100000,86000,1,0,1,0,29-01-2022 09:47:33
63,nemid,dk,8,95000,0.7,1.03,nemid,27/01/2022 10:45,"Sitelinks,People also ask,Image pack",103000,133000,0,0,0,0,29-01-2022 09:51:14
64,filmstriben,dk,4,93000,0.01,1.05,filmstriben,25/01/2022 12:18,"Sitelinks,People also ask,Knowledge panel",94000,93000,1,0,1,0,29-01-2022 09:54:28
65,f,dk,41,91000,1.0,0.91,facebook,26/01/2022 14:56,Sitelinks,21460000,4670000,0,1,1,0,29-01-2022 09:54:59
66,vejr,dk,34,86000,0.1,0.46,dmi,26/01/2022 18:48,"Sitelinks,Image pack",90000,932000,0,0,0,0,29-01-2022 09:48:23
67,br,dk,3,84000,0.15,0.89,br,26/01/2022 23:39,"Sitelinks,People also ask,Knowledge panel",971000,52000,0,1,1,0,29-01-2022 09:50:52
68,disney,dk,89,84000,0.9,0.43,disney,24/01/2022 16:08,"Adwords top,Sitelinks,People also ask,Knowledge panel",8950000,27000,0,0,0,0,29-01-2022 09:47:56
69,sinfull,dk,0,83000,,0.96,sinfull,24/01/2022 20:50,"Shopping results,Thumbnails,Adwords top,Knowledge panel,Sitelinks",95000,23000,1,0,0,0,29-01-2022 09:52:47
70,dgs,dk,4,82000,0.4,1.02,de gule sider,23/01/2022 09:00,"Sitelinks,Knowledge panel",486000,339000,0,0,0,0,29-01-2022 09:52:18
71,sundhedsstyrelsen,dk,60,81000,0.0,0.82,sundhedsstyrelsen,24/01/2022 11:46,"Adwords top,Sitelinks,Knowledge panel,Tweet box,Image pack",84000,43000,1,0,1,0,29-01-2022 09:47:37
72,jydskevestkysten,dk,0,81000,0.03,1.04,jv,26/01/2022 13:46,"Sitelinks,Knowledge panel",83000,347000,1,1,1,0,29-01-2022 09:54:43
73,tv2dk,dk,3,81000,0.01,0.9,tv2,24/01/2022 00:27,"Sitelinks,People also ask,Knowledge panel",83000,2430000,1,1,1,1,29-01-2022 09:51:03
74,nike,dk,9,78000,0.25,0.9,nike,26/01/2022 21:35,"Sitelinks,People also ask,Image pack",25310000,67000,0,0,0,0,29-01-2022 09:52:36
75,stjernetegn,dk,3,76000,0.8,0.98,stjernetegn,24/01/2022 09:23,"People also ask,Knowledge panel,Sitelinks",143000,14000,0,0,0,0,29-01-2022 09:48:34
76,bmi,dk,14,75000,0.09,1.09,bmi,28/01/2022 11:49,"People also ask,Knowledge panel",3890000,80000,0,0,0,0,29-01-2022 09:54:08
77,b,dk,86,75000,2.0,0.62,berlingske,26/01/2022 20:08,"Sitelinks,Image pack",8420000,292000,0,1,1,0,29-01-2022 09:50:42
78,ni,dk,40,74000,1.5,0.95,ni,26/01/2022 14:52,Sitelinks,624000,141000,0,1,1,0,29-01-2022 09:55:49
79,gls,dk,7,74000,0.15,1.03,gls,25/01/2022 15:30,"Sitelinks,People also ask,Knowledge panel",2090000,77000,0,0,0,0,29-01-2022 09:48:27
80,reddit,dk,88,73000,0.06,0.98,reddit,24/01/2022 06:19,"Sitelinks,Knowledge panel",17270000,75000,1,0,0,0,29-01-2022 09:49:34
81,imdb,dk,92,72000,0.8,0.94,imdb,24/01/2022 17:21,"Sitelinks,Knowledge panel",6790000,63000,0,0,0,0,29-01-2022 09:54:54
82,testcenter,dk,31,72000,,,testcenter,26/01/2022 13:35,Image pack,114000,29000,0,0,0,0,29-01-2022 09:50:40
83,phub,dk,79,71000,,0.98,pornhub,27/01/2022 16:20,Sitelinks,14290000,2280000,1,0,0,1,29-01-2022 09:54:21
84,edc,dk,17,71000,0.2,0.99,edc,26/01/2022 20:16,"Adwords top,Sitelinks,Knowledge panel",321000,68000,0,0,0,0,29-01-2022 09:51:26
85,tv,dk,72,70000,2.0,0.78,tv2,24/01/2022 08:17,"Sitelinks,Top stories,Thumbnails,Image pack",4510000,2420000,0,1,1,0,29-01-2022 09:49:23
86,cbb,dk,6,69000,0.3,1.04,cbb,28/01/2022 04:54,"Sitelinks,People also ask,Knowledge panel",143000,83000,1,0,0,0,29-01-2022 09:48:28
